Gün,RÜZGAR HIZI (KM/SAAT),Yağmur Olasılığı (%),Nem Seviyesi (%),Sıcaklık (C°)
1,33,15,62,29
2,53,88,17,1
3,21,65,55,23
4,48,45,82,27
5,11,1,51,34
6,9,11,42,33
7,48,67,17,10
8,38,2,99,20
9,41,26,34,-1
10,1,68,50,37
11,57,60,50,16
12,47,19,6,39
13,22,82,29,17
14,59,54,4,-6
15,5,56,9,-8
16,53,18,64,11
17,9,68,95,11
18,26,4,76,36
19,8,50,35,39
20,39,65,11,28
21,2,65,81,16
22,8,100,36,13
23,55,12,65,24
24,29,28,98,-5
25,52,63,30,7
26,1,65,15,7
27,56,44,32,14
28,34,45,85,-1
29,10,83,11,36
30,6,97,82,4
31,1,32,65,30
32,46,24,3,-1
33,1,13,65,-3
34,12,70,61,29
35,55,52,50,10
36,37,76,35,2
37,19,19,98,-9
38,29,79,89,26
39,16,31,3,-10
40,24,4,17,14
41,48,100,10,27
42,40,30,36,-1
43,3,95,2,-6
44,52,75,0,36
45,51,50,44,5
46,32,77,92,39
47,17,34,2,39
48,6,81,82,29
49,46,14,81,2
50,21,26,41,-6
51,14,19,44,19
52,49,43,17,15
53,41,44,77,38
54,59,74,50,11
55,41,5,24,16
56,59,12,87,39
57,19,10,52,17
58,12,44,27,2
59,14,74,24,17
60,7,3,60,39
61,7,33,7,3
62,3,15,21,22
63,2,42,45,28
64,27,54,89,9
65,33,63,40,3
66,17,97,51,-7
67,39,0,52,12
68,26,32,49,36
69,38,49,8,17
70,20,1,63,9
71,38,24,41,-1
72,60,39,99,8
73,52,75,38,34
74,51,23,78,-4
75,57,99,63,34
76,3,10,79,-8
77,51,61,32,35
78,26,95,76,18
79,45,39,70,36
80,10,7,28,32
81,6,47,87,6
82,7,94,41,8
83,39,96,15,2
84,39,99,68,-1
85,39,69,14,37
86,20,27,69,-4
87,42,87,42,29
88,57,92,85,38
89,41,58,53,-5
90,24,35,21,37
91,43,85,11,11
92,38,16,74,27
93,4,3,50,16
94,8,100,76,-5
95,6,19,64,17
96,41,59,59,5
97,57,69,93,26
98,58,42,28,9
99,7,54,39,24
100,44,11,60,17
101,55,79,29,-9
102,44,78,31,40
103,39,22,93,-1
104,52,29,19,31
105,20,36,47,37
106,48,25,44,10
107,56,88,19,1
108,2,93,91,3
109,35,30,100,15
110,43,52,77,6
111,41,53,65,25
112,35,92,57,4
113,60,1,98,23
114,28,48,48,23
115,19,34,85,5
116,39,83,90,-7
117,59,42,3,25
118,24,59,25,-5
119,32,39,96,16
120,11,32,39,21
121,49,96,78,19
122,54,15,69,-3
123,38,46,95,19
124,2,26,70,10
125,46,54,57,7
126,58,15,27,26
127,3,13,22,8
128,3,0,39,20
129,19,70,94,1
130,39,0,38,34
131,24,3,53,-10
132,16,5,34,5
133,38,20,66,37
134,17,63,39,31
135,23,38,81,3
136,24,66,92,-6
137,34,64,70,10
138,15,9,57,4
139,44,25,25,12
140,57,98,66,35
141,52,41,33,-3
142,36,100,95,31
143,32,99,11,-9
144,50,36,76,25
145,22,76,41,2
146,58,63,29,20
147,48,26,90,14
148,1,70,100,-10
149,17,23,8,29
150,60,53,29,13
151,33,20,34,11
152,33,79,12,31
153,27,79,56,8
154,8,14,5,17
155,6,69,1,38
156,13,24,44,34
157,51,84,42,37
158,8,38,96,18
159,1,40,85,1
160,57,9,45,-3
161,10,65,63,-5
162,31,61,19,38
163,49,82,24,-5
164,33,25,59,-10
165,39,20,91,33
166,46,0,76,24
167,6,53,42,21
168,0,74,85,24
169,27,13,70,-5
170,9,81,88,32
171,23,77,97,36
172,20,56,80,40
173,59,6,60,-6
174,57,74,45,-7
175,40,6,52,-10
176,16,12,92,40
177,60,8,91,36
178,18,13,52,-6
179,22,94,76,-4
180,39,46,76,15
181,46,71,42,30
182,37,31,100,32
183,3,28,72,21
184,59,73,56,-6
185,47,78,92,-8
186,48,29,61,36
187,45,58,81,19
188,33,22,25,21
189,1,40,71,33
190,24,45,36,26
191,19,47,89,13
192,1,58,67,-10
193,39,72,23,-7
194,6,84,32,2
195,50,42,78,1
196,14,27,24,24
197,31,26,13,10
198,11,74,80,23
199,40,6,72,38
200,12,65,27,-8
201,38,52,26,21
202,57,45,64,20
203,18,29,67,9
204,15,14,82,16
205,17,22,69,36
206,26,16,34,37
207,59,14,61,38
208,59,14,15,12
209,56,30,77,24
210,24,80,71,10
211,37,52,4,6
212,0,42,67,10
213,59,89,97,-6
214,48,37,59,-2
215,30,94,9,11
216,4,63,13,-2
217,23,67,46,9
218,45,49,36,27
219,3,1,26,29
220,15,68,43,1
221,46,22,58,22
222,2,42,49,-7
223,25,1,98,39
224,24,37,39,2
225,45,97,10,-3
226,49,57,81,21
227,30,10,72,23
228,20,83,23,5
229,57,42,25,11
230,57,54,0,15
231,30,83,60,14
232,37,56,12,0
233,35,31,38,31
234,49,46,17,13
235,54,90,88,16
236,36,7,49,-2
237,47,21,49,29
238,49,39,51,-2
239,2,82,83,-1
240,37,11,0,13
241,35,31,69,28
242,52,78,20,25
243,29,76,36,35
244,60,84,15,24
245,31,7,11,-4
246,41,65,82,33
247,43,45,29,17
248,27,68,13,4
249,60,81,8,11
250,59,2,90,10
251,11,48,69,23
252,26,86,75,-8
253,5,3,83,17
254,40,98,30,20
255,41,93,33,-8
256,3,51,98,12
257,21,86,67,29
258,60,25,30,-6
259,8,85,34,3
260,26,93,36,2
261,45,21,8,27
262,7,14,6,36
263,9,5,23,37
264,54,72,10,-7
265,33,24,95,8
266,7,15,13,24
267,9,78,81,0
268,9,87,23,8
269,32,52,27,32
270,32,68,32,34
