Gün,RÜZGAR HIZI (KM/SAAT),Yağmur Olasılığı (%),Nem Seviyesi (%),Sıcaklık (°C),Uçuş Başarısı (%)
1,33,15,62,29,91.875
2,53,88,17,1,27.93333333333333
3,21,65,55,23,87.0
4,48,45,82,27,56.625
5,11,1,51,34,98.5
6,9,11,42,33,99.375
7,48,67,17,10,64.73333333333333
8,38,2,99,20,76.25
9,41,26,34,-1,78.0
10,1,68,50,37,85.6
11,57,60,50,16,58.0
12,47,19,6,39,68.375
13,22,82,29,17,62.73333333333334
14,59,54,4,-6,47.46666666666666
15,5,56,9,-8,82.2
16,53,18,64,11,68.0
17,9,68,95,11,76.85
18,26,4,76,36,86.0
19,8,50,35,39,65.0
20,39,65,11,28,70.83333333333333
21,2,65,81,16,82.75
22,8,100,36,13,60.0
23,55,12,65,24,67.5
24,29,28,98,-5,60.25
25,52,63,30,7,65.6
26,1,65,15,7,83.0
27,56,44,32,14,46.75
28,34,45,85,-1,55.875
29,10,83,11,36,69.93333333333332
30,6,97,82,4,56.9
31,1,32,65,30,85.0
32,46,24,3,-1,68.25
33,1,13,65,-3,86.875
34,12,70,61,29,82.75
35,55,52,50,10,68.4
36,37,76,35,2,68.7
37,19,19,98,-9,70.375
38,29,79,89,26,60.55
39,16,31,3,-10,72.875
40,24,4,17,14,86.33333333333333
41,48,100,10,27,40.666666666666664
42,40,30,36,-1,62.5
43,3,95,2,-6,53.333333333333336
44,52,75,0,36,56.0
45,51,50,44,5,53.0
46,32,77,92,39,57.400000000000006
47,17,34,2,39,70.83333333333333
48,6,81,82,29,69.7
49,46,14,81,2,80.25
50,21,26,41,-6,79.0
51,14,19,44,19,92.375
52,49,43,17,15,55.708333333333336
53,41,44,77,38,62.5
54,59,74,50,11,42.8
55,41,5,24,16,85.0
56,59,12,87,39,44.0
57,19,10,52,17,85.5
58,12,44,27,2,68.75
59,14,74,24,17,70.8
60,7,3,60,39,87.0
61,7,33,7,3,83.29166666666667
62,3,15,21,22,89.875
63,2,42,45,28,80.0
64,27,54,89,9,82.55
65,33,63,40,3,85.1
66,17,97,51,-7,48.9
67,39,0,52,12,86.5
68,26,32,49,36,80.25
69,38,49,8,17,60.958333333333336
70,20,1,63,9,93.25
71,38,24,41,-1,69.25
72,60,39,99,8,32.125
73,52,75,38,34,56.0
74,51,23,78,-4,55.375
75,57,99,63,34,26.049999999999997
76,3,10,79,-8,75.25
77,51,61,32,35,69.2
78,26,95,76,18,54.0
79,45,39,70,36,69.375
80,10,7,28,32,83.66666666666667
81,6,47,87,6,70.125
82,7,94,41,8,64.8
83,39,96,15,2,44.699999999999996
84,39,99,68,-1,35.3
85,39,69,14,37,66.63333333333333
86,20,27,69,-4,72.125
87,42,87,42,29,66.4
88,57,92,85,38,16.15
89,41,58,53,-5,81.6
90,24,35,21,37,73.375
91,43,85,11,11,62.333333333333336
92,38,16,74,27,80.75
93,4,3,50,16,97.0
94,8,100,76,-5,46.0
95,6,19,64,17,93.375
96,41,59,59,5,90.8
97,57,69,93,26,42.55
98,58,42,28,9,34.66666666666667
99,7,54,39,24,96.8
100,44,11,60,17,91.375
101,55,79,29,-9,27.133333333333333
102,44,78,31,40,59.599999999999994
103,39,22,93,-1,60.75
104,52,29,19,31,57.791666666666664
105,20,36,47,37,78.75
106,48,25,44,10,74.625
107,56,88,19,1,21.266666666666662
108,2,93,91,3,57.849999999999994
109,35,30,100,15,70.0
110,43,52,77,6,88.15
111,41,53,65,25,94.35
112,35,92,57,4,58.9
113,60,1,98,23,49.5
114,28,48,48,23,68.25
115,19,34,85,5,74.25
116,39,83,90,-7,42.599999999999994
117,59,42,3,25,41.0
118,24,59,25,-5,70.46666666666667
119,32,39,96,16,69.875
120,11,32,39,21,85.75
121,49,96,78,19,40.699999999999996
122,54,15,69,-3,56.625
123,38,46,95,19,56.75
124,2,26,70,10,87.5
125,46,54,57,7,84.8
126,58,15,27,26,51.875
127,3,13,22,8,90.79166666666667
128,3,0,39,20,100.0
129,19,70,94,1,61.0
130,39,0,38,34,86.5
131,24,3,53,-10,83.0
132,16,5,34,5,92.0
133,38,20,66,37,80.25
134,17,63,39,31,86.1
135,23,38,81,3,74.25
136,24,66,92,-6,65.2
137,34,64,70,10,80.3
138,15,9,57,4,88.5
139,44,25,25,12,74.29166666666667
